,All-items,Food,Shelter,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",All-items excluding food and energy,All-items excluding energy,Energy,Goods,Services,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment with advanced education, male (% of male labor force with advanced education)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (national estimate)",Gross savings (% of GDP),GDP per capita (current US$),Adjusted net national income (constant 2010 US$),Export value index (2000 = 100),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Population ages 15-64 (% of total population),"Part time employment, total (% of total employment)",Tax revenue (current LCU),GDP (constant 2010 US$),Subsidies and other transfers (current LCU),Urban population,Urban population growth (annual %),BC New Housing Price Index,Prime Rate,Bank of Canada Overnight Rate
1985,63.0,65.5,65.6,72.3,71.5,59.2,73.5,63.2,57.7,42.8,62.0,62.7,67.3,67.5,58.2,,,,57.78,20.61466726,14114.80776,684000000000.0,,3.779172892,68.46314655,35.00999832,,,,19731489.0,1.122230862,,11.0,10.7
1986,65.6,68.8,67.5,74.5,73.4,61.0,65.4,65.9,60.7,47.9,65.3,65.9,62.5,69.8,61.2,,,,59.52,19.04586143,14461.06924,698000000000.0,,3.859605473,68.42066449,34.90000153,,,,19967235.0,1.187689414,66.3,11.0,11.59
1987,68.5,71.8,70.5,76.7,76.5,63.3,68.5,69.3,63.7,51.1,68.3,68.9,64.1,72.6,64.1,,,,61.02,20.25177182,16308.96697,723000000000.0,,4.006835201,68.35407309,37.41999817,,,,20237468.0,1.344305762,67.1,9.25,7.34
1988,71.2,73.7,73.8,79.6,80.5,64.5,67.9,72.3,67.3,54.9,71.5,71.9,64.5,75.2,67.1,,,,62.48,21.0446828,18936.9641,755000000000.0,,4.443364544,68.26707702,34.22999954,,,,20506939.0,1.32275789,70.9,9.75,8.33
1989,74.8,76.5,78.1,82.5,83.7,67.8,72.1,75.5,70.3,59.9,75.5,75.6,66.7,78.4,70.9,,,,63.37,20.21532395,20715.63148,776000000000.0,,4.795503485,68.16493915,30.65999985,,,,20883649.0,1.820319161,76.9,12.25,11.45
1990,78.4,79.6,82.5,84.2,86.1,71.6,82.7,79.1,73.2,65.2,78.8,78.9,73.4,81.6,74.9,,5.329999924,66.78,61.28,17.82406242,21448.36196,774000000000.0,,4.550173882,68.05508117,32.50999832,98150000000.0,,87459000000.0,21206427.0,1.533778783,93.1,13.5,13.0
1991,82.8,83.4,86.3,87.4,94.3,72.9,81.5,84.7,78.3,76.4,83.4,83.4,77.0,85.7,79.6,10.32,7.150000095,66.26,57.33,15.19677807,21768.34329,764000000000.0,,4.888978129,67.93070769,36.02999878,101000000000.0,,97812000000.0,21482271.0,1.29236942,81.8,12.25,9.77
1992,84.0,83.1,87.9,87.9,95.1,74.4,78.6,86.6,79.2,81.0,85.1,84.7,77.2,86.4,81.4,11.2,8.550000191,65.35,54.76,14.10436831,20879.84833,760000000000.0,,4.871277851,67.80604689,39.61000061,103000000000.0,,105000000000.0,21813814.0,1.531544853,85.3,7.5,7.31
1993,85.6,84.5,89.1,88.7,96.0,76.8,77.4,88.9,81.1,82.2,86.8,86.3,78.1,87.8,83.1,11.38,8.539999962,64.99,53.35,14.93238077,20121.16125,780000000000.0,,5.384967769,67.7053641,38.04000092,102000000000.0,,108000000000.0,22130869.0,1.442998242,92.7,6.75,5.84
1994,85.7,84.9,89.4,88.9,96.8,80.2,76.5,89.7,83.5,68.8,86.9,86.4,78.6,86.8,84.5,10.4,7.909999847,64.78,53.76,17.0360145,19935.38146,813000000000.0,,4.951114173,67.6561795,36.09000015,104000000000.0,,107000000000.0,22450573.0,1.434271599,97.1,5.5,3.85
1995,87.6,86.9,90.4,90.6,96.7,84.3,80.1,89.6,86.7,68.7,88.8,88.4,79.6,88.4,86.7,9.49,6.880000114,64.41,53.79,19.01012577,20613.78788,844000000000.0,69.48343739,2.146555027,67.66816673,37.15999985,110000000000.0,,108000000000.0,22760570.0,1.371351563,93.6,9.25,8.13
1996,88.9,88.0,90.6,92.5,96.4,87.6,83.6,90.1,88.7,70.1,90.1,89.7,81.9,89.9,88.0,9.62,6.920000076,64.22,52.65,19.52540072,21227.34753,857000000000.0,72.89537519,2.289895043,67.6663617,35.86999893,119000000000.0,,106000000000.0,23081461.0,1.400008831,87.3,7.25,5.25
1997,90.4,89.4,90.8,93.7,97.7,90.3,85.2,91.7,91.0,72.3,91.5,91.0,83.9,91.2,89.5,9.1,6.369999886,64.42,51.47,20.19673402,21901.56285,896000000000.0,77.51295112,1.710004995,67.75619384,35.56999969,132000000000.0,1080000000000.0,103000000000.0,23428320.0,1.491580581,83.3,4.75,3.0
1998,91.3,90.9,91.1,95.1,98.8,89.6,77.9,93.6,93.0,74.9,92.7,92.3,80.5,91.4,91.1,8.28,5.820000172,64.68,52.45,19.77421428,21024.58507,913000000000.0,77.47426948,1.705099854,67.91189269,36.95000076,138000000000.0,1110000000000.0,105000000000.0,23739358.0,1.318879885,80.0,6.0,4.75
1999,92.9,92.0,92.3,95.8,100.1,92.6,84.9,95.4,94.7,76.5,94.0,93.6,85.0,93.1,92.6,7.58,5.349999905,65.07,54.54,21.09588678,22315.24667,968000000000.0,86.20330638,1.794498691,68.09211711,35.72000122,148000000000.0,1150000000000.0,112000000000.0,24048329.0,1.293116804,75.7,6.75,5.0
2000,95.4,93.3,95.6,96.7,100.3,97.2,103.5,97.0,97.0,79.0,95.5,95.0,98.8,96.0,94.8,6.83,4.769999981,65.27,56.23,23.77462807,24271.00206,1040000000000.0,100.0,1.937226944,68.27134994,33.88999939,164000000000.0,1210000000000.0,114000000000.0,24388404.0,1.404225954,74.3,6.5,4.75
2001,97.8,97.4,99.1,98.6,100.7,97.3,100.8,98.9,98.4,85.0,97.3,97.3,102.0,98.4,97.1,7.22,5.53000021,65.37,56.34,22.63548905,23822.06012,1050000000000.0,93.9414425,2.104924386,68.48999677,37.24000168,162000000000.0,1230000000000.0,123000000000.0,24757782.0,1.50320904,73.7,7.25,5.5
2002,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.67,5.920000076,66.33,57.47,21.7247372,24255.33858,1080000000000.0,91.24312678,1.577321275,68.68572505,38.0,160000000000.0,1270000000000.0,125000000000.0,25052940.0,1.185132208,75.6,3.75,2.0
2003,102.8,101.7,103.2,100.7,98.2,105.2,106.4,101.4,100.8,110.1,102.5,102.4,107.9,101.9,103.6,7.57,5.820000172,67.06,58.15,21.94377715,28300.4631,1120000000000.0,98.59806158,1.275172672,68.86716827,41.24000168,166000000000.0,1320000000000.0,137000000000.0,25304780.0,1.000212478,77.4,4.5,2.75
2004,104.7,103.8,105.8,101.2,98.0,107.7,117.6,102.8,101.1,116.0,103.9,103.8,115.2,103.4,105.9,7.19,5.429999828,67.0,57.85,23.66050407,32143.68141,1170000000000.0,114.5128463,1.021246692,69.04442219,39.52000046,178000000000.0,1370000000000.0,141000000000.0,25566897.0,1.03051181,81.7,4.25,2.5
2005,107.0,106.4,109.2,101.7,97.6,112.0,132.6,104.6,100.8,119.1,105.3,105.4,126.3,105.8,108.2,6.76,5.159999847,66.67,57.7,24.45175414,36382.50792,1230000000000.0,130.3156523,0.940486168,69.20650153,38.20000076,189000000000.0,1440000000000.0,163000000000.0,25834340.0,1.040618588,85.0,4.25,2.5
2006,109.1,108.9,113.1,102.2,95.8,115.2,139.8,105.9,100.6,121.7,106.9,107.2,132.8,107.1,111.1,6.32,4.760000229,66.58,58.52,24.61727708,40504.06073,1270000000000.0,140.3304472,0.869916624,69.33034088,39.65000153,200000000000.0,1500000000000.0,162000000000.0,26126316.0,1.123846755,90.1,5.25,3.5
2007,111.5,111.8,116.9,103.2,95.7,117.1,146.1,107.3,101.8,125.5,109.0,109.5,135.9,108.0,114.8,6.04,4.570000172,67.06,59.49,24.40431956,44659.89514,1310000000000.0,152.0851238,0.924169443,69.42767915,38.25,210000000000.0,1600000000000.0,173000000000.0,26441461.0,1.199018842,95.7,6.0,4.25
2008,114.1,115.7,122.0,104.6,93.8,119.5,164.7,108.8,102.2,127.5,110.3,111.3,149.3,109.4,118.7,6.14,4.78000021,67.23,59.53,24.24740931,46710.50558,1330000000000.0,165.0191142,0.867710314,69.47633483,39.45000076,205000000000.0,1620000000000.0,184000000000.0,26789863.0,1.309029905,101.5,5.75,4.0
2009,114.4,121.4,121.6,107.3,93.4,113.1,135.8,112.1,103.1,130.7,111.5,113.3,129.2,107.6,121.2,8.34,7.110000134,66.78,55.31,18.52001347,40876.31015,1250000000000.0,114.2712259,0.91558114,69.45565817,42.61000061,193000000000.0,1570000000000.0,196000000000.0,27158023.0,1.364893948,98.1,3.0,1.0
2010,116.5,123.1,123.3,108.8,91.6,118.0,148.2,115.1,104.0,133.1,112.9,114.8,137.8,109.2,123.7,8.06,6.400000095,66.62,54.87,19.3125301,47562.08343,1320000000000.0,140.0785986,0.981834864,69.35777322,41.11999893,195000000000.0,1620000000000.0,214000000000.0,27522537.0,1.333268714,96.5,2.25,0.25
2011,119.9,127.7,125.6,110.9,91.9,125.6,177.8,117.1,105.3,135.6,114.7,117.0,154.7,112.9,126.7,7.51,5.75,66.41,55.31,20.85710941,52223.69611,1370000000000.0,163.1622868,0.895932926,69.13351886,40.25999832,209000000000.0,1670000000000.0,209000000000.0,27847821.0,1.174952642,96.6,3.0,1.0
2012,121.7,130.8,127.1,113.0,92.0,128.1,182.3,118.7,105.9,137.6,116.2,118.8,157.3,114.0,129.3,7.29,5.730000019,66.25,54.34,20.91795123,52669.08996,1390000000000.0,164.7013116,0.749079603,68.89937956,38.88999939,213000000000.0,1700000000000.0,215000000000.0,28166078.0,1.136362333,96.3,3.0,1.0
2013,122.8,132.4,128.7,114.4,92.1,129.0,183.4,118.3,106.2,140.4,117.2,119.9,159.6,114.6,131.0,7.07,5.539999962,66.22,55.06,21.5972984,52635.17496,1430000000000.0,165.686768,0.742946913,68.6308948,40.09999847,221000000000.0,1740000000000.0,221000000000.0,28479640.0,1.107109995,95.3,3.0,1.0
2014,125.2,135.5,132.2,116.6,93.2,130.4,183.8,119.0,107.4,146.6,119.0,122.0,165.3,116.5,133.7,6.91,5.590000153,65.76,55.55,22.14849389,50955.99832,1460000000000.0,172.1876036,0.711630871,68.31509023,42.77000046,236000000000.0,1790000000000.0,226000000000.0,28781576.0,1.05460142,94.3,3.0,1.0
2015,126.6,140.5,133.7,119.7,94.6,126.5,153.4,120.5,109.4,152.0,121.2,124.6,149.5,116.8,136.4,6.91,5.599999905,65.61,55.76,19.56936363,43596.13554,1430000000000.0,148.2419115,0.966149614,67.95488432,40.36000061,247000000000.0,1800000000000.0,239000000000.0,29011826.0,0.796807975,93.6,2.85,0.75
2016,128.4,142.6,135.8,121.7,94.4,127.9,144.2,122.2,111.3,156.8,123.5,126.9,145.0,117.9,138.9,7.0,5.929999828,65.49,55.38,19.14645457,42315.60371,1440000000000.0,140.9859863,0.727015922,67.64695567,40.0,253000000000.0,1820000000000.0,253000000000.0,29357013.0,1.182792155,96.3,2.7,0.5
2017,130.4,142.7,138.1,121.9,93.7,132.9,161.2,124.3,114.0,161.1,125.5,128.5,152.7,118.9,142.0,6.34,5.269999981,65.59,56.48,19.84528099,45129.35644,1510000000000.0,152.0750424,0.705703372,67.28747162,40.90000153,270000000000.0,1870000000000.0,268000000000.0,29729597.0,1.261162007,99.9,2.7,0.5
2018,133.4,145.3,140.9,123.2,94.5,139.1,181.5,125.9,115.3,167.9,127.9,131.0,162.9,121.1,145.8,5.83,4.789999962,65.26,56.3,19.5000262,46454.74339,1540000000000.0,162.9637806,0.722233307,66.89774245,38.40999985,292000000000.0,1920000000000.0,277000000000.0,30175132.0,1.487505987,107.8,3.45,1.25
2019,136.0,150.2,144.5,123.6,96.1,141.5,170.5,127.4,116.8,171.1,130.5,134.0,159.3,122.7,149.2,5.66,4.650000095,65.57,57.47,20.01164268,46326.67264,1580000000000.0,161.54927,0.740445109,66.50620337,41.86999893,307000000000.0,1950000000000.0,298000000000.0,30631841.0,1.502188206,107.6,3.95,1.75
2020,137.0,153.7,147.0,123.8,94.4,141.2,146.7,129.2,115.7,171.9,132.0,135.8,147.2,122.5,151.3,9.48,7.429999828,63.91,49.28,18.71884029,43241.61783,,,,66.12038624,42.27000046,,1850000000000.0,,30997832.0,1.187724304,105.5,3.95,1.75
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.3,2.45,0.25
